ISP,Download,Upload,Timestamp
Infel-ktv Doo,10.26 Mbit/s,0.90 Mbit/s,2020-06-05T21:25:08.868679Z
Infel-ktv Doo,10.74 Mbit/s,1.21 Mbit/s,2020-06-05T21:26:59.734327Z
Infel-ktv Doo,11.81 Mbit/s,1.23 Mbit/s,2020-06-05T21:46:30.718500Z
Infel-ktv Doo,9.37 Mbit/s,1.21 Mbit/s,2020-06-05T21:48:46.403223Z
Infel-ktv Doo,14.27 Mbit/s,1.21 Mbit/s,2020-06-05T22:14:02.149595Z
Infel-ktv Doo,12.26 Mbit/s,1.32 Mbit/s,2020-06-05T22:15:02.242343Z
Infel-ktv Doo,14.08 Mbit/s,1.38 Mbit/s,2020-06-05T23:00:03.457186Z
Infel-ktv Doo,14.40 Mbit/s,1.30 Mbit/s,2020-06-06T00:00:01.916463Z
Infel-ktv Doo,0.28 Mbit/s,0.06 Mbit/s,2020-06-06T02:00:06.103402Z
Infel-ktv Doo,0.00 Mbit/s,0.10 Mbit/s,2020-06-06T03:00:12.415926Z
Infel-ktv Doo,0.00 Mbit/s,0.10 Mbit/s,2020-06-06T04:00:04.407514Z
Infel-ktv Doo,7.24 Mbit/s,0.30 Mbit/s,2020-06-06T05:00:03.931582Z
Infel-ktv Doo,3.97 Mbit/s,0.65 Mbit/s,2020-06-06T06:00:11.725544Z
Infel-ktv Doo,4.74 Mbit/s,1.15 Mbit/s,2020-06-06T07:00:06.873240Z
Infel-ktv Doo,14.34 Mbit/s,1.34 Mbit/s,2020-06-06T09:17:24.856801Z
Infel-ktv Doo,12.60 Mbit/s,1.27 Mbit/s,2020-06-06T09:19:56.211910Z
Infel-ktv Doo,14.23 Mbit/s,1.26 Mbit/s,2020-06-06T10:00:02.824848Z
Infel-ktv Doo,14.35 Mbit/s,1.25 Mbit/s,2020-06-06T11:00:02.873199Z
Infel-ktv Doo,14.07 Mbit/s,1.31 Mbit/s,2020-06-06T12:00:02.817009Z
Infel-ktv Doo,14.36 Mbit/s,1.30 Mbit/s,2020-06-06T13:00:03.060917Z
Infel-ktv Doo,11.14 Mbit/s,1.30 Mbit/s,2020-06-06T14:00:03.534554Z
Infel-ktv Doo,12.81 Mbit/s,1.33 Mbit/s,2020-06-06T15:00:02.235263Z
Infel-ktv Doo,8.91 Mbit/s,1.34 Mbit/s,2020-06-06T16:00:02.648836Z
Infel-ktv Doo,12.17 Mbit/s,1.31 Mbit/s,2020-06-06T17:00:02.246879Z
Infel-ktv Doo,13.06 Mbit/s,1.28 Mbit/s,2020-06-06T18:00:02.511171Z
Infel-ktv Doo,13.63 Mbit/s,1.33 Mbit/s,2020-06-06T19:00:03.647778Z
Infel-ktv Doo,11.41 Mbit/s,0.97 Mbit/s,2020-06-06T20:00:02.915984Z
Infel-ktv Doo,13.67 Mbit/s,1.33 Mbit/s,2020-06-06T21:00:02.592418Z
Infel-ktv Doo,12.48 Mbit/s,1.27 Mbit/s,2020-06-06T22:00:02.788319Z
Infel-ktv Doo,13.40 Mbit/s,1.28 Mbit/s,2020-06-06T23:00:03.033973Z
Infel-ktv Doo,14.26 Mbit/s,1.33 Mbit/s,2020-06-07T00:00:02.231120Z
Infel-ktv Doo,14.34 Mbit/s,1.20 Mbit/s,2020-06-07T01:00:02.744174Z
Infel-ktv Doo,14.19 Mbit/s,1.29 Mbit/s,2020-06-07T02:00:02.929966Z
Infel-ktv Doo,14.20 Mbit/s,1.34 Mbit/s,2020-06-07T03:00:02.215960Z
Infel-ktv Doo,14.31 Mbit/s,1.41 Mbit/s,2020-06-07T04:00:01.866084Z
Infel-ktv Doo,14.24 Mbit/s,1.25 Mbit/s,2020-06-07T05:00:02.718548Z
Infel-ktv Doo,14.31 Mbit/s,1.33 Mbit/s,2020-06-07T06:00:02.381138Z
Infel-ktv Doo,14.25 Mbit/s,1.29 Mbit/s,2020-06-07T07:00:03.423183Z
Infel-ktv Doo,14.38 Mbit/s,1.27 Mbit/s,2020-06-07T08:00:02.508032Z
Infel-ktv Doo,14.23 Mbit/s,1.23 Mbit/s,2020-06-07T09:00:02.872968Z
Infel-ktv Doo,14.16 Mbit/s,1.25 Mbit/s,2020-06-07T10:00:02.361745Z
Infel-ktv Doo,13.35 Mbit/s,1.35 Mbit/s,2020-06-07T11:00:03.239343Z
Infel-ktv Doo,14.20 Mbit/s,1.22 Mbit/s,2020-06-07T12:00:02.960576Z
Infel-ktv Doo,14.21 Mbit/s,1.25 Mbit/s,2020-06-07T13:00:02.225283Z
Infel-ktv Doo,12.17 Mbit/s,1.29 Mbit/s,2020-06-07T14:00:02.732275Z
Infel-ktv Doo,12.58 Mbit/s,1.49 Mbit/s,2020-06-07T15:00:02.856902Z
Infel-ktv Doo,11.50 Mbit/s,1.27 Mbit/s,2020-06-07T16:00:02.947962Z
Infel-ktv Doo,10.37 Mbit/s,1.37 Mbit/s,2020-06-07T17:00:03.266993Z
Infel-ktv Doo,13.88 Mbit/s,1.18 Mbit/s,2020-06-07T18:00:02.958504Z
Infel-ktv Doo,12.74 Mbit/s,1.35 Mbit/s,2020-06-07T19:00:03.725857Z
